,Incident_DATE,Incident_INC NO.,Incident_LOCATION,Suspect_SEX,Suspect_RACE,Suspect_AGE,Suspect_INJURY,Suspect_WEAPON,Suspect_DECILE
1,2020-05-29,71326920,7000 CULLEN BLVD,M,H,26,Wounded,Other,20 - 29
2,2020-05-28,71270820,6300 DUMFRIES DR,M,H,18,Wounded,Firearm,Under 20
3,2020-05-25,69259320,6500 CAPRIDGE DR,M,H,UNK,Killed,Firearm,Unknown
6,2020-05-16,64788020,8600 S BRAESWOOD BLVD,M,B,38,Killed,Knife,30 - 39
7,2020-05-14,63946620,3800 NOAH ST,M,B,30,Killed,Other,30 - 39
9,2020-05-08,60491720,11700 NORTH FWY OB,M,B,48,Killed,Other,40 - 49
10,2020-04-27,54949120,7900 LANE ST,M,H,28,Killed,Firearm,20 - 29
12,2020-04-21,52537920,800 GAZIN,M,B,36,Killed,Other,30 - 39
17,2020-04-11,47826020,400 GREENS RD #2008,M,B,34,None,Firearm,30 - 39
18,2020-04-03,44206820,12300 BRAESRIDGE DR,M,B,27,Wounded,None,20 - 29
19,2020-02-19,23726420,20100 NORTH FWY IB,M,B,26,Wounded,Knife,20 - 29
20,2020-01-23,10380820,3900 YELLOWSTONE BLVD,M,B,37,None,Firearm,30 - 39
21,2020-01-06,2508920,2300 FANNIN ST,M,B,30,Wounded,None,30 - 39
22,2020-01-09,4005720,8100 MARTIN LUTHER KING BLVD,M,B,45,Wounded,None,40 - 49
23,2020-01-03,2446820,11000 SPOTTSWOOD DR,M,B,34,Wounded,Firearm,30 - 39
27,2019-12-30,171736319,5700 PERSHING ST,M,B,18,Killed,Firearm,Under 20
29,2019-12-18,4055820,1400 LOCKWOOD DR,M,B,43,Wounded,Firearm,40 - 49
31,2019-09-05,115732919,400 UVALDE RD,M,H,28,Wounded,None,20 - 29
33,2019-09-12,119361419,3900 TRISTAN ST,M,B,17,Unknown,None,Under 20
34,2019-09-16,120935219,10700 S. Gessner,M,B,27,Killed,Firearm,20 - 29
36,2019-11-01,143778519,16100 S POST OAK RD,M,A,32,Wounded,Firearm,30 - 39
38,2019-08-15,108199719,2400 CHARLES RD,M,H,41,Killed,Firearm,40 - 49
39,2019-08-09,102521519,2400 Hutton,M,B,60,Wounded,Firearm,60 - 69
41,2019-07-21,93118919,6400 S GESSNER RD,M,B,25,None,Firearm,20 - 29
42,2019-06-28,82488019,10000 SOUTHWEST FWY OB,M,W,24,Killed,Firearm,20 - 29
45,2019-06-19,77867119,9300 BISSONNET ST,M,B,23,Wounded,Firearm,20 - 29
47,2019-05-24,65776819,5900 SELINSKY RD,M,B,35,Killed,Firearm,30 - 39
48,2019-04-13,46151719,2600 ALABAMA ST,M,B,17,Wounded,Firearm,Under 20
49,2019-02-27,25266619,5200 AIRLINE DR,M,H,19,Wounded,Firearm,Under 20
51,2019-02-21,22869919,10600 BEECHNUT ST,M,H,17,Wounded,Firearm,Under 20
52,2019-01-31,13527619,12200 BISSONNET ST,M,B,26,None,None,20 - 29
53,,13527619,,M,B,24,None,None,20 - 29
54,2019-01-28,12191319,200 TURNER DR,M,H,30,Wounded,None,30 - 39
55,2019-01-28,12133719,7800 HARDING ST,M,W,59,Killed,Firearm,50 - 59
57,,12133719,,F,W,58,Killed,None,50 - 59
59,2019-01-28,12191319,200 TURNER DR,M,H,30,Wounded,None,30 - 39
60,2019-01-08,3169319,11000 SOUTHWEST FWY OB,M,B,26,Wounded,Firearm,20 - 29
62,2019-01-04,1599519,100 E 44TH ST,M,B,32,Killed,Firearm,30 - 39
63,2018-02-25,162241918,13300 ALMEDA RD,M,W,39,None,None,30 - 39
64,2018-11-28,150372018,7600 HARRISBURG BLVD,M,B,28,Killed,None,20 - 29
65,,150372018,,M,B,30,Killed,Firearm,30 - 39
66,2018-11-27,149476218,12300 BELLAIRE BLVD,M,A,41,Killed,Firearm,40 - 49
67,2018-11-14,144320018,7100 Beechnut,M,H,61,Killed,None,60 - 69
68,2018-10-27,135922718,2800 Eagle Creek,M,W,30,Killed,Firearm,30 - 39
69,2018-09-28,122990318,2500 WINROCK BLVD,M,B,23,Killed,Firearm,20 - 29
72,2018-09-28,123798518,3000 ELGIN ST,M,B,26,None,Other,20 - 29
73,2018-09-08,114287818,16500 Tiffany Court,M,B,43,Killed,Firearm,40 - 49
